video_path,total_valid_emotion_detections,dominant_emotion,percent_angry,percent_disgust,percent_fear,percent_happy,percent_neutral,percent_sad,percent_surprise,khong_khi_lop_hoc (label)
MAH06917_opencv\phan_1.mp4,1520,neutral,3.88,0.0,19.01,5.33,47.57,24.21,0.0,
MAH06917_opencv\phan_2.mp4,1552,neutral,6.7,0.0,20.04,4.83,41.43,27.0,0.0,
MAH06917_opencv\phan_3.mp4,1803,neutral,3.72,0.0,17.58,5.05,46.53,27.01,0.11,
MAH06917_opencv\phan_4.mp4,1951,neutral,3.74,0.05,17.94,6.2,45.21,26.76,0.1,
MAH06917_opencv\phan_5.mp4,2050,neutral,3.85,0.0,16.59,5.07,46.78,27.56,0.15,
MAH06917_opencv\phan_6.mp4,2029,neutral,3.35,0.0,14.39,4.83,51.9,25.43,0.1,
MAH06917_opencv\phan_7.mp4,1871,neutral,2.99,0.0,15.93,5.08,47.41,28.54,0.05,
MAH06917_opencv\phan_8.mp4,1467,neutral,3.75,0.0,12.2,8.45,49.83,25.77,0.0,
MAH07303_opencv\phan_1.mp4,1812,neutral,4.58,0.06,14.79,9.77,40.12,30.13,0.55,
MAH07303_opencv\phan_2.mp4,1851,neutral,3.78,0.0,17.94,7.78,36.41,33.82,0.27,
MAH07303_opencv\phan_3.mp4,1876,neutral,6.29,0.11,19.83,4.21,39.82,29.26,0.48,
MAH07303_opencv\phan_4.mp4,1959,neutral,5.97,0.0,15.16,7.76,39.2,30.88,1.02,
MAH07303_opencv\phan_5.mp4,1603,neutral,8.17,0.12,19.21,7.67,34.5,29.94,0.37,
MAH07303_opencv\phan_6.mp4,106,sad,7.55,0.0,9.43,7.55,33.96,40.57,0.94,
video_opencv\phan_1.mp4,736,sad,6.25,0.27,9.92,8.29,30.98,43.75,0.54,
video_opencv\phan_10.mp4,1406,sad,8.82,0.21,7.11,8.25,32.29,43.1,0.21,
video_opencv\phan_11.mp4,1239,sad,7.43,0.08,9.12,5.89,29.86,47.38,0.24,
video_opencv\phan_12.mp4,1412,sad,11.83,0.0,6.16,7.51,29.39,44.9,0.21,
video_opencv\phan_13.mp4,1562,sad,9.54,0.0,6.47,6.15,32.33,45.52,0.0,
video_opencv\phan_14.mp4,1582,sad,9.29,0.06,5.56,6.76,30.91,47.28,0.13,
video_opencv\phan_15.mp4,1571,sad,9.55,0.06,7.64,7.77,31.51,43.16,0.32,
video_opencv\phan_16.mp4,1590,sad,11.01,0.0,6.98,5.66,34.34,41.95,0.06,
video_opencv\phan_17.mp4,1435,sad,10.03,0.07,6.69,6.9,31.57,44.67,0.07,
video_opencv\phan_18.mp4,1454,sad,10.32,0.0,5.5,5.91,34.04,44.02,0.21,
video_opencv\phan_19.mp4,1580,neutral,12.22,0.06,5.44,7.97,37.85,35.95,0.51,
video_opencv\phan_2.mp4,736,sad,7.61,0.0,9.78,7.47,26.09,48.78,0.27,
video_opencv\phan_20.mp4,1443,sad,11.43,0.07,8.87,9.49,33.47,36.45,0.21,
video_opencv\phan_21.mp4,1345,sad,10.71,0.0,10.71,6.39,29.07,42.75,0.37,
video_opencv\phan_22.mp4,1533,sad,10.83,0.0,6.98,5.54,32.68,43.51,0.46,
video_opencv\phan_23.mp4,1506,sad,8.7,0.0,6.11,8.7,34.0,42.16,0.33,
video_opencv\phan_24.mp4,1372,sad,10.06,0.07,6.56,7.22,36.81,39.21,0.07,
video_opencv\phan_25.mp4,1346,sad,10.48,0.22,9.73,7.65,33.66,38.11,0.15,
video_opencv\phan_26.mp4,1120,sad,9.73,0.0,10.09,6.34,25.54,48.04,0.27,
video_opencv\phan_27.mp4,1069,sad,8.61,0.0,11.23,5.33,27.32,47.33,0.19,
video_opencv\phan_28.mp4,1094,sad,9.87,0.09,11.33,8.5,32.27,37.66,0.27,
video_opencv\phan_29.mp4,1299,sad,6.08,0.0,9.93,7.7,32.95,43.19,0.15,
video_opencv\phan_3.mp4,821,sad,7.31,0.0,10.6,6.82,26.92,48.23,0.12,
video_opencv\phan_30.mp4,1069,sad,5.71,0.0,9.26,12.44,33.02,39.29,0.28,
video_opencv\phan_31.mp4,897,sad,6.58,0.11,12.15,8.58,29.88,42.03,0.67,
video_opencv\phan_32.mp4,857,sad,6.77,0.12,11.9,15.64,22.29,43.29,0.0,
video_opencv\phan_33.mp4,811,sad,5.92,0.12,11.59,8.26,24.78,48.83,0.49,
video_opencv\phan_34.mp4,938,sad,4.48,0.0,10.55,11.3,25.37,47.33,0.96,
video_opencv\phan_35.mp4,972,sad,7.0,0.0,10.49,14.92,29.12,38.07,0.41,
video_opencv\phan_36.mp4,963,sad,8.1,0.21,10.49,17.65,26.58,36.34,0.62,
video_opencv\phan_37.mp4,971,sad,8.55,0.21,11.74,11.64,25.95,41.71,0.21,
video_opencv\phan_38.mp4,651,sad,7.22,0.15,8.14,13.21,33.49,37.79,0.0,
video_opencv\phan_4.mp4,897,sad,6.13,0.0,9.92,3.79,25.2,54.96,0.0,
video_opencv\phan_5.mp4,847,sad,5.19,0.24,11.69,5.31,29.87,47.11,0.59,
video_opencv\phan_6.mp4,1109,sad,4.87,0.09,12.08,8.84,27.59,46.08,0.45,
video_opencv\phan_7.mp4,1073,sad,7.46,0.0,11.0,9.97,28.42,42.87,0.28,
video_opencv\phan_8.mp4,1200,sad,7.17,0.08,11.58,8.25,33.25,39.42,0.25,
video_opencv\phan_9.mp4,1437,sad,6.33,0.0,7.17,9.26,32.08,44.61,0.56,
